Protein_Domain(Queried),Protein_Domain_name,count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,Protein_Domain
PF00023,Ankyrin repeat,2,"['YDL019C', 'YMR068W']",,,,,,,,,,
PF00025,ADP-ribosylation factor family,7,"['YBR164C', 'YDL137W', 'YDL192W', 'YMR138W', 'YOR094W', 'YPL051W', 'YPL218W']",,"['VPS74', 'GEA2', 'SEC27']",['Golgi apparatus'],"['GTP binding', 'GTPase activity', 'nucleotide binding']","['intracellular protein transport', 'protein localization to Golgi apparatus', 'protein transport', 'vesicle-mediated transport']",,,['SYT1'],,
PF00026,Eukaryotic aspartyl protease,9,"['YDR144C', 'YDR349C', 'YGL258W-A', 'YGL259W', 'YIL015W', 'YIR039C', 'YLR120C', 'YLR121C', 'YPL154C']",,['YPS1'],"['anchored component of membrane', 'anchored component of plasma membrane', 'extracellular region', 'fungal-type cell wall']","['aspartic-type endopeptidase activity', 'hydrolase activity', 'peptidase activity']","['fungal-type cell wall organization', 'proteolysis']",,,,,
PF00027,Cyclic nucleotide-binding domain,2,"['YIL033C', 'YML059C']",,,,,,,,,,
PF00032,Cytochrome b(C-terminal)/b6/petD,1,['Q0105'],,,,,,,,,,
PF00033,Cytochrome b/b6/petB,4,"['Q0105', 'Q0110', 'Q0115', 'Q0120']",,,,"['electron carrier activity', 'endonuclease activity']","['Group I intron splicing', 'mitochondrial mRNA processing', 'nucleic acid phosphodiester bond hydrolysis', 'respiratory electron transport chain']",,,"['COX4', 'MIC60']",,['LAGLIDADG endonuclease']
PF00034,Cytochrome c,2,"['YEL039C', 'YJR048W']",,,['respiratory chain'],,"['mitochondrial electron transport, cytochrome c to oxygen', 'mitochondrial electron transport, ubiquinol to cytochrome c']",,,,,
PF00035,Double-stranded RNA binding motif,2,"['YMR024W', 'YMR239C']",,,,"['double-stranded RNA binding', 'ribonuclease III activity']","['RNA phosphodiester bond hydrolysis', 'rRNA catabolic process']",,,,,
PF00037,4Fe-4S binding domain,1,['YDR091C'],,,,,,,,,,
PF00042,Globin,2,"['YGR234W', 'YNL234W']",,,,"['FAD binding', 'heme binding', 'nitric oxide dioxygenase activity', 'oxygen binding']","['cellular response to nitrosative stress', 'nitric oxide catabolic process']",,,,,
PF00043,"Glutathione S-transferase, C-terminal domain",6,"['YGR201C', 'YIR038C', 'YKL081W', 'YLL060C', 'YNL229C', 'YPL048W']",,,,,"['glutathione metabolic process', 'translational elongation']",['glutathione-glutaredoxin redox reactions'],,,,"['Elongation factor 1 gamma, conserved domain', 'Glutathione S-transferase, N-terminal domain']"
PF00044,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain",3,"['YGR192C', 'YJL052W', 'YJR009C']",,['HST2'],"['fungal-type cell wall', 'lipid particle']","['NAD binding', 'NADP binding', 'glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity', 'melatonin binding', 'oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor']","['gluconeogenesis', 'glucose metabolic process', 'glycolytic process', 'reactive oxygen species metabolic process']","['gluconeogenesis', 'glycolysis']",,"['FAT1', 'SAN1', 'KAR2']","['MSN4', 'GCR2']","['Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain']"
PF00046,Homeodomain,7,"['YCL067C', 'YCR039C', 'YCR096C', 'YCR097W', 'YDL106C', 'YDR451C', 'YML027W']",,,,"['DNA binding', 'RNA polymerase II core promoter proximal region sequence-specific DNA binding', 'RNA polymerase II transcription factor activity, sequence-specific DNA binding']","['cell differentiation', 'negative regulation of mating-type specific transcription from RNA polymerase II promoter', 'regulation of transcription from RNA polymerase II promoter']",,,['MCM1'],,
PF00056,"lactate/malate dehydrogenase, NAD binding domain",3,"['YDL078C', 'YKL085W', 'YOL126C']",,,,"['L-malate dehydrogenase activity', 'malate dehydrogenase activity', 'oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor']","['carbohydrate metabolic process', 'carboxylic acid metabolic process', 'malate metabolic process', 'tricarboxylic acid cycle']","['TCA cycle, aerobic respiration', 'gluconeogenesis', 'glyoxylate cycle']",,,,"['lactate/malate dehydrogenase, alpha/beta C-terminal domain']"
PF00063,Myosin head (motor domain),5,"['YAL029C', 'YHR023W', 'YKL129C', 'YMR109W', 'YOR326W']",,"['MLC1', 'LAS17']","['actin cytoskeleton', 'cell tip', 'filamentous actin', 'microvillus', 'myosin complex', 'vesicle']","['ATP binding', 'actin binding', 'actin filament binding', 'microfilament motor activity', 'motor activity', 'nucleotide binding']","['actin filament organization', 'vesicle transport along actin filament']",,,"['CMD1', 'ACT1', 'MLC1', 'YGL242C', 'SSH4', 'GPM1', 'PWP1', 'MCM5', 'HOF1', 'SHE4', 'MET1', 'SRL1']",,"['DIL domain', 'Unconventional myosin tail, actin- and lipid-binding']"
PF00067,Cytochrome P450,3,"['YDR402C', 'YHR007C', 'YMR015C']",,,,"['heme binding', 'iron ion binding', 'monooxygenase activity', 'oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen']",,['ergosterol biosynthesis'],,,,
